2026-03-26 17:12:48,214 | INFO | __main__ | Initializing managers...
2026-03-26 17:12:48,214 | INFO | manager.RedisManager | Connecting to Redis: localhost:6379 (pool_size=100)
2026-03-26 17:12:48,217 | INFO | manager.RedisManager | Redis connected ✓ (pool_size=100)
2026-03-26 17:12:48,217 | INFO | manager.MongoManager | Connecting to MongoDB: localhost:27017 (pool_size=50)
2026-03-26 17:12:48,222 | INFO | manager.MongoManager | Ensuring MongoDB indexes...
2026-03-26 17:12:48,226 | INFO | manager.MongoManager | MongoDB indexes ensured
2026-03-26 17:12:48,226 | INFO | manager.MongoManager | MongoDB connected, database: stock_agent ✓
2026-03-26 17:12:48,226 | INFO | manager.TushareManager | Initializing Tushare Pro API...
2026-03-26 17:12:48,334 | INFO | manager.TushareManager | Tushare initialized with shared node, rate_limit=200/min ✓
2026-03-26 17:12:48,348 | INFO | manager.BaostockManager | Baostock 登录成功
2026-03-26 17:12:48,348 | INFO | __main__ | All managers initialized ✓
2026-03-26 17:12:48,349 | INFO | __main__ | 
============================================================
2026-03-26 17:12:48,349 | INFO | __main__ | Starting backtest: 半路追涨
2026-03-26 17:12:48,349 | INFO | __main__ |   Period: 20260105 -> 20260320
2026-03-26 17:12:48,349 | INFO | __main__ |   Initial cash: 100000.00
2026-03-26 17:12:48,349 | INFO | __main__ | ============================================================

2026-03-26 17:12:48,349 | INFO | backtest_engine.factor_selection.portfolio_backtest | Starting portfolio backtest: 20260105 -> 20260320
2026-03-26 17:12:48,349 | INFO | backtest_engine.factor_selection.universe | Getting rebalance dates: 20260105 -> 20260320, freq=daily
2026-03-26 17:12:48,349 | WARNING | backtest_engine.factor_selection.universe | get_trade_calendar returned None, querying from MongoDB stock_daily
2026-03-26 17:12:48,350 | INFO | backtest_engine.factor_selection.universe | Total trade dates: 48
2026-03-26 17:12:48,350 | INFO | backtest_engine.factor_selection.universe | Filtered rebalance dates: 48 (freq=daily)
2026-03-26 17:12:48,351 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalance dates: 48, Trade dates: 48
2026-03-26 17:12:48,351 | INFO | backtest_engine.factor_selection.portfolio_backtest | Processing day 1/48: 20260105
2026-03-26 17:12:48,352 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260105 (1/48)
2026-03-26 17:12:48,356 | INFO | backtest_engine.factor_selection.universe | [20260105] Base universe: 1739 stocks
2026-03-26 17:12:48,363 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 1641 stocks on 20260105
2026-03-26 17:12:49,318 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260106 (2/48)
2026-03-26 17:12:49,318 | INFO | backtest_engine.factor_selection.universe | [20260106] Base universe: 5 stocks
2026-03-26 17:12:49,325 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260106
2026-03-26 17:12:49,337 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260107 (3/48)
2026-03-26 17:12:49,337 | INFO | backtest_engine.factor_selection.universe | [20260107] Base universe: 5 stocks
2026-03-26 17:12:49,343 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260107
2026-03-26 17:12:49,354 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260108 (4/48)
2026-03-26 17:12:49,355 | INFO | backtest_engine.factor_selection.universe | [20260108] Base universe: 5 stocks
2026-03-26 17:12:49,361 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260108
2026-03-26 17:12:49,372 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260109 (5/48)
2026-03-26 17:12:49,372 | INFO | backtest_engine.factor_selection.universe | [20260109] Base universe: 5 stocks
2026-03-26 17:12:49,378 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260109
2026-03-26 17:12:49,389 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260112 (6/48)
2026-03-26 17:12:49,390 | INFO | backtest_engine.factor_selection.universe | [20260112] Base universe: 5 stocks
2026-03-26 17:12:49,396 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260112
2026-03-26 17:12:49,407 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260113 (7/48)
2026-03-26 17:12:49,407 | INFO | backtest_engine.factor_selection.universe | [20260113] Base universe: 5 stocks
2026-03-26 17:12:49,413 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260113
2026-03-26 17:12:49,424 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260114 (8/48)
2026-03-26 17:12:49,425 | INFO | backtest_engine.factor_selection.universe | [20260114] Base universe: 5 stocks
2026-03-26 17:12:49,431 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260114
2026-03-26 17:12:49,442 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260115 (9/48)
2026-03-26 17:12:49,442 | INFO | backtest_engine.factor_selection.universe | [20260115] Base universe: 5 stocks
2026-03-26 17:12:49,448 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260115
2026-03-26 17:12:49,459 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260116 (10/48)
2026-03-26 17:12:49,460 | INFO | backtest_engine.factor_selection.universe | [20260116] Base universe: 5 stocks
2026-03-26 17:12:49,466 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260116
2026-03-26 17:12:49,477 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260119 (11/48)
2026-03-26 17:12:49,477 | INFO | backtest_engine.factor_selection.universe | [20260119] Base universe: 5 stocks
2026-03-26 17:12:49,483 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260119
2026-03-26 17:12:49,494 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260120 (12/48)
2026-03-26 17:12:49,495 | INFO | backtest_engine.factor_selection.universe | [20260120] Base universe: 5 stocks
2026-03-26 17:12:49,501 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260120
2026-03-26 17:12:49,512 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260121 (13/48)
2026-03-26 17:12:49,512 | INFO | backtest_engine.factor_selection.universe | [20260121] Base universe: 5 stocks
2026-03-26 17:12:49,518 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260121
2026-03-26 17:12:49,529 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260122 (14/48)
2026-03-26 17:12:49,530 | INFO | backtest_engine.factor_selection.universe | [20260122] Base universe: 5 stocks
2026-03-26 17:12:49,536 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260122
2026-03-26 17:12:49,546 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260123 (15/48)
2026-03-26 17:12:49,547 | INFO | backtest_engine.factor_selection.universe | [20260123] Base universe: 5 stocks
2026-03-26 17:12:49,553 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260123
2026-03-26 17:12:49,564 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260126 (16/48)
2026-03-26 17:12:49,564 | INFO | backtest_engine.factor_selection.universe | [20260126] Base universe: 5 stocks
2026-03-26 17:12:49,570 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260126
2026-03-26 17:12:49,580 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260127 (17/48)
2026-03-26 17:12:49,580 | INFO | backtest_engine.factor_selection.universe | [20260127] Base universe: 5 stocks
2026-03-26 17:12:49,586 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260127
2026-03-26 17:12:49,596 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260128 (18/48)
2026-03-26 17:12:49,597 | INFO | backtest_engine.factor_selection.universe | [20260128] Base universe: 5 stocks
2026-03-26 17:12:49,603 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260128
2026-03-26 17:12:49,649 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260130 (19/48)
2026-03-26 17:12:49,650 | INFO | backtest_engine.factor_selection.universe | [20260130] Base universe: 5 stocks
2026-03-26 17:12:49,656 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 4 stocks on 20260130
2026-03-26 17:12:49,667 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260202 (20/48)
2026-03-26 17:12:49,667 | INFO | backtest_engine.factor_selection.universe | [20260202] Base universe: 21 stocks
2026-03-26 17:12:49,673 | INFO | backtest_engine.factor_selection.factor_engine | Computing factors for 20 stocks on 20260202
2026-03-26 17:12:49,696 | INFO | backtest_engine.factor_selection.portfolio_backtest | Processing day 21/48: 20260203
2026-03-26 17:12:49,696 | INFO | backtest_engine.factor_selection.portfolio_backtest | Rebalancing on 20260203 (21/48)
